n_kmeans,n_agglomerative,silhouette_score
2,31,0.33292662732094924
2,32,0.3320188946671631
2,33,0.3335292095735564
2,34,0.33753055649469077
2,35,0.33884893926565685
2,36,0.3397560991660341
2,37,0.3334336539440769
2,38,0.335091151626461
2,39,0.3359567161373535
2,40,0.33861120230732916
2,41,0.3391256922432873
2,42,0.2616679023172817
2,43,0.25695795660925724
2,44,0.25809540009474463
2,45,0.2591228599522027
2,46,0.2592922529390508
2,47,0.2613975837619666
2,48,0.26229200806701636
2,49,0.263712854686219
2,50,0.2628770683233227
3,1,0.2767785081076985
3,2,0.27956396025666436
3,3,0.295032675030768
3,4,0.31593825237200435
3,5,0.30255393906470057
3,6,0.29224234823018874
3,7,0.3079169457713891
3,8,0.31284932599118886
3,9,0.31892121430387677
3,10,0.2976817405620891
3,11,0.3002185002196551
3,12,0.30723738610053175
3,13,0.3076241313751433
3,14,0.31365201901551615
3,15,0.3171852115810232
3,16,0.324623897425556
3,17,0.3189825957159326
3,18,0.32274942924778843
3,19,0.32513242723205854
3,20,0.32857015279075935
3,21,0.3297102386264383
3,22,0.33883739842636534
3,23,0.3413629624137361
3,24,0.3437837201480944
3,25,0.33539209824589983
3,26,0.33880574211811765
3,27,0.26066369820903024
3,28,0.26230432240522183
3,29,0.2606990191152257
3,30,0.26150121928476416
3,31,0.2648631810801173
3,32,0.2663926558836515
3,33,0.26816831648067746
3,34,0.26521003686621697
3,35,0.26798643602750144
3,36,0.2643386444117494
3,37,0.2652602393371861
3,38,0.2646030202677926
3,39,0.2667480988876466
3,40,0.2631071593029956
3,41,0.265617295068703
3,42,0.26625966741734775
3,43,0.2677754164308758
3,44,0.2685134119830517
3,45,0.2686546800718226
3,46,0.2682851254639713
3,47,0.2706649919120602
3,48,0.27247621523747123
3,49,0.27306711954904944
3,50,0.27240374654796107
4,1,0.28215280210543414
4,2,0.23595680987995235
4,3,0.24569290576910974
4,4,0.2629947506291724
4,5,0.26007221365285454
4,6,0.2574493133282454
4,7,0.266791972926104
4,8,0.2763211543054309
4,9,0.2739430413662061
4,10,0.28505613050678485
4,11,0.2849536123370729
4,12,0.2851317465063312
4,13,0.2852278143181795
4,14,0.29272271554829205
4,15,0.28884516465524945
4,16,0.2833818038977858
4,17,0.2862930941854306
4,18,0.2954293900784473
4,19,0.23773404322730565
4,20,0.2418457570616661
4,21,0.24652661428972572
4,22,0.2485315426668643
4,23,0.2528988701073177
4,24,0.24460245000023
4,25,0.24686244931676182
4,26,0.24887243444913365
4,27,0.25219876326017276
4,28,0.2528126843536595
4,29,0.2536941651419283
4,30,0.2552556241006826
4,31,0.25542474788797126
4,32,0.25897596234729753
4,33,0.2571268309262526
4,34,0.256614189373316
4,35,0.2599450385200726
4,36,0.2634268785916376
4,37,0.2590013028926413
4,38,0.26054161182601054
4,39,0.26196949300585287
4,40,0.23356031582646306
4,41,0.23451056237352955
4,42,0.2391302496410423
4,43,0.23961704991554078
4,44,0.2394743924276202
4,45,0.24127363342375088
4,46,0.24329719007234993
4,47,0.2408264873999215
4,48,0.24598077675907923
4,49,0.24728120944441073
4,50,0.24878568327419942
5,1,0.29460278735850715
5,2,0.26073201778430116
5,3,0.27642528176688935
5,4,0.24471907838609455
5,5,0.20386755399180642
5,6,0.22074785877606712
5,7,0.22180142456960264
5,8,0.2274574275418304
5,9,0.2377220862392262
5,10,0.24479953521760925
5,11,0.24913114855790422
5,12,0.25596826363099084
5,13,0.2492960883732175
5,14,0.2520724485024422
5,15,0.2533351614566484
5,16,0.25673947263264
5,17,0.2595650417483237
5,18,0.24316404340913747
5,19,0.24871272184574403
5,20,0.24385678331268046
5,21,0.2446709766010662
5,22,0.24683227923666884
5,23,0.24906280155544688
5,24,0.25178092807848235
5,25,0.2518863547951436
5,26,0.24754139188174917
5,27,0.2495674512629633
5,28,0.2545411165037931
5,29,0.2570728986126948
5,30,0.2597777142692536
5,31,0.2633633338881158
5,32,0.2393773369954455
5,33,0.23543849330547
5,34,0.2371803683934193
5,35,0.23871417352795282
5,36,0.23950094294408708
5,37,0.23950490101709992
5,38,0.2385717514411243
5,39,0.23921247501971385
5,40,0.24439467718030788
5,41,0.2440477974031893
5,42,0.2438955044265357
5,43,0.24535652366378669
5,44,0.2471314976125871
5,45,0.2474471555986012
5,46,0.24663605480370812
5,47,0.24857507873172405
5,48,0.2500009905856271
